Fecha,Hora,Latitud,Longitud,Genero,Edad,Arma,Barrio,Id Barrio,Id Comuna,Categoria
2017-01-01,01:00:00,6.29970294,-75.58201578,Mujer,33,Arma cortopunzante,Doce de Octubre No.2,#0603,6,Tecnología
2017-01-01,15:00:00,6.25091714,-75.56615963,Mujer,26,Arma cortopunzante,La Candelaria,#1019,10,Tecnología
2017-01-01,14:00:00,6.27483624,-75.55490943,Hombre,30,No,Campo Valdés No.1,#0410,4,Tecnología
2017-01-01,16:00:00,6.27623616,-75.55353312,Hombre,37,Arma de fuego,Campo Valdés No.1,#0410,4,Tecnología
2017-01-01,16:00:00,6.25033921,-75.58691404,Hombre,87,No,Naranjal,#1103,11,Prendas de vestir y accesorios
2017-01-01,16:00:00,6.21907115,-75.60299601,Mujer,29,No,La Loma de los Bernal,#1611,16,Elementos escolares
2017-01-01,20:30:00,6.31770887,-75.6782588,Hombre,27,Arma de fuego,Volcana Guayabal,#5005,50,Tecnología
2017-01-01,16:00:00,6.26830676,-75.55845689,Hombre,36,No,Manrique Central No.1,#0409,4,"Dinero, joyas, piedras preciosas y título valor"
2017-01-01,00:30:00,6.24279675,-75.55479672,Hombre,41,Arma cortopunzante,Barrio Caycedo,#0906,9,"Dinero, joyas, piedras preciosas y título valor"
2017-01-01,08:00:00,6.24682256,-75.56211378,Hombre,59,No,Boston,#1016,10,"Dinero, joyas, piedras preciosas y título valor"
2017-01-01,10:00:00,6.24968051,-75.56807902,Hombre,39,Arma cortopunzante,La Candelaria,#1019,10,Tecnología
2017-01-01,00:30:00,6.24279675,-75.55479672,Hombre,41,Arma cortopunzante,Barrio Caycedo,#0906,9,Tecnología
2017-01-01,13:00:00,6.23605066,-75.54735627,Hombre,38,Arma cortopunzante,Los Cerros el Vergel,#0904,9,Tecnología
2017-01-01,10:00:00,6.24978353,-75.56850721,Hombre,43,Arma cortopunzante,La Candelaria,#1019,10,Tecnología
2017-01-01,08:00:00,6.24682256,-75.56211378,Hombre,59,No,Boston,#1016,10,Artículos de fumador
2017-01-01,02:00:00,6.25073584,-75.56404605,Mujer,22,Arma cortopunzante,La Candelaria,#1019,10,Tecnología
2017-01-01,07:15:00,6.27979636,-75.56503739,Mujer,30,No,Bermejal-Los Alamos,#0404,4,Tecnología
2017-01-01,01:30:00,6.2849781,-75.58721926,Hombre,20,Arma cortopunzante,El Diamante,#0711,7,Tecnología
2017-01-01,16:35:00,6.26677131,-75.56506422,Mujer,27,No,Sevilla,#0407,4,Tecnología
